loan_amount,interest_rate,term_months,annual_income,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_util,mort_acc,sub_grade,purpose,home_ownership,employment_length,verification_status,default
6000,19.99,36,50000.0,15.94,0.0,2.0,16.0,0.0,30.9,0.0,E1,credit_card,RENT,3 years,Source Verified,1
20000,20.8,36,81636.0,15.96,0.0,0.0,17.0,0.0,81.7,1.0,E1,other,RENT,Unknown,Verified,1
28000,22.39,60,95000.0,18.47,0.0,1.0,8.0,0.0,92.1,0.0,E1,debt_consolidation,RENT,4 years,Source Verified,1
16950,19.99,36,54000.0,26.09,1.0,2.0,18.0,0.0,71.9,2.0,E1,debt_consolidation,MORTGAGE,10+ years,Source Verified,0
2000,22.74,36,55000.0,22.59,0.0,0.0,7.0,0.0,59.3,0.0,E1,debt_consolidation,RENT,4 years,Verified,1
8000,20.8,36,48100.0,4.74,0.0,2.0,7.0,0.0,27.3,0.0,E1,small_business,RENT,3 years,Verified,0
6400,22.9,36,14040.0,22.05,0.0,1.0,7.0,0.0,40.8,0.0,E1,debt_consolidation,RENT,Unknown,Verified,1
3500,18.25,36,84000.0,29.14,0.0,0.0,18.0,0.0,78.0,3.0,E1,vacation,MORTGAGE,10+ years,Not Verified,1
20000,18.25,60,69700.0,17.62,0.0,0.0,13.0,0.0,50.7,0.0,E1,credit_card,MORTGAGE,9 years,Source Verified,0
2500,19.99,36,36000.0,30.37,0.0,1.0,11.0,0.0,29.7,2.0,E1,other,OWN,10+ years,Verified,1
4500,20.99,36,9036.0,23.64,0.0,3.0,9.0,0.0,27.4,0.0,E1,debt_consolidation,RENT,Unknown,Verified,0
35000,18.25,60,92000.0,25.62,1.0,0.0,10.0,2.0,59.9,2.0,E1,credit_card,MORTGAGE,< 1 year,Source Verified,0
15000,19.99,60,45000.0,11.71,1.0,0.0,10.0,1.0,6.5,0.0,E1,debt_consolidation,MORTGAGE,10+ years,Verified,1
24000,18.25,60,98000.0,12.12,0.0,1.0,9.0,2.0,82.5,2.0,E1,debt_consolidation,RENT,6 years,Source Verified,1
35000,22.74,60,187476.0,7.68,0.0,2.0,10.0,0.0,16.8,2.0,E1,major_purchase,MORTGAGE,3 years,Verified,1
8700,18.25,36,98533.0,9.56,0.0,0.0,9.0,0.0,51.1,0.0,E1,credit_card,RENT,Unknown,Verified,1
11000,22.74,60,90000.0,10.89,0.0,1.0,8.0,1.0,42.2,0.0,E1,debt_consolidation,MORTGAGE,< 1 year,Not Verified,0
35000,22.74,60,130000.0,20.73,0.0,0.0,8.0,1.0,48.4,1.0,E1,debt_consolidation,MORTGAGE,5 years,Verified,1
30900,22.39,36,67200.0,11.07,0.0,3.0,13.0,0.0,40.9,0.0,E1,debt_consolidation,RENT,< 1 year,Source Verified,0
3000,16.45,60,41000.0,5.44,0.0,3.0,7.0,0.0,49.4,0.0,E1,home_improvement,MORTGAGE,7 years,Not Verified,0
5000,18.54,36,77000.0,17.55,0.0,2.0,18.0,0.0,24.6,1.0,E1,debt_consolidation,MORTGAGE,10+ years,Verified,0
35000,18.25,60,123500.0,19.76,0.0,1.0,19.0,0.0,78.0,5.0,E1,debt_consolidation,MORTGAGE,10+ years,Source Verified,1
9000,17.99,60,38400.0,11.34,0.0,2.0,18.0,0.0,10.1,0.0,E1,debt_consolidation,RENT,5 years,Not Verified,1
28000,19.99,60,130000.0,19.75,0.0,0.0,26.0,1.0,33.3,0.0,E1,debt_consolidation,RENT,4 years,Not Verified,1
20000,20.99,60,50000.0,13.34,0.0,0.0,7.0,0.0,21.0,0.0,E1,house,RENT,3 years,Source Verified,1
22000,20.49,60,78000.0,16.88,0.0,1.0,9.0,0.0,92.6,4.0,E1,debt_consolidation,MORTGAGE,10+ years,Verified,0
36750,22.39,60,84000.0,25.13,0.0,1.0,13.0,5.0,53.7,1.0,E1,debt_consolidation,MORTGAGE,9 years,Verified,0
13500,19.99,60,52000.0,3.88,3.0,2.0,9.0,0.0,28.1,0.0,E1,debt_consolidation,OWN,9 years,Source Verified,0
15000,18.99,60,52000.0,15.58,0.0,2.0,9.0,0.0,71.4,0.0,E1,debt_consolidation,RENT,2 years,Source Verified,1
30000,18.64,60,105000.0,12.69,0.0,1.0,14.0,0.0,51.1,0.0,E1,credit_card,MORTGAGE,10+ years,Verified,0
31400,18.25,60,101500.0,10.98,0.0,0.0,19.0,1.0,14.0,3.0,E1,debt_consolidation,RENT,10+ years,Verified,1
18725,19.99,60,65000.0,17.82,3.0,1.0,13.0,0.0,0.0,4.0,E1,house,RENT,2 years,Not Verified,0
10000,18.25,60,31000.0,25.55,0.0,0.0,10.0,0.0,46.3,1.0,E1,debt_consolidation,OWN,10+ years,Source Verified,0
11750,22.74,60,55104.0,32.84,0.0,1.0,15.0,0.0,51.5,1.0,E1,debt_consolidation,OWN,7 years,Source Verified,0
17550,22.74,60,70000.0,11.19,0.0,0.0,17.0,0.0,14.7,0.0,E1,debt_consolidation,RENT,3 years,Not Verified,0
12800,18.99,60,41000.0,24.65,0.0,0.0,6.0,2.0,44.4,1.0,E1,debt_consolidation,MORTGAGE,< 1 year,Source Verified,0
15000,18.99,36,80000.0,4.83,0.0,3.0,7.0,0.0,54.8,0.0,E1,debt_consolidation,RENT,1 year,Source Verified,0
12775,18.54,60,37800.0,32.06,0.0,1.0,12.0,0.0,78.2,2.0,E1,debt_consolidation,MORTGAGE,9 years,Source Verified,1
22575,18.54,60,120000.0,26.63,0.0,0.0,6.0,0.0,93.6,5.0,E1,debt_consolidation,MORTGAGE,3 years,Verified,0
31175,19.99,60,80000.0,26.03,0.0,2.0,14.0,1.0,24.0,3.0,E1,debt_consolidation,MORTGAGE,2 years,Verified,0
28000,22.39,36,120000.0,26.68,0.0,1.0,11.0,1.0,63.3,2.0,E1,credit_card,RENT,6 years,Not Verified,0
28500,20.49,36,60000.0,20.28,0.0,2.0,14.0,0.0,77.9,0.0,E1,debt_consolidation,RENT,< 1 year,Source Verified,0
7250,18.99,36,24249.6,38.61,0.0,0.0,13.0,0.0,94.9,0.0,E1,debt_consolidation,RENT,10+ years,Verified,1
12000,22.74,60,180000.0,9.2,0.0,0.0,5.0,1.0,97.9,7.0,E1,debt_consolidation,MORTGAGE,10+ years,Not Verified,1
33000,19.99,60,127000.0,28.73,0.0,1.0,20.0,0.0,95.0,6.0,E1,debt_consolidation,MORTGAGE,5 years,Verified,0
15200,18.25,60,38000.0,19.99,0.0,1.0,9.0,0.0,82.7,0.0,E1,debt_consolidation,OWN,5 years,Source Verified,0
3250,20.49,36,25000.0,16.8,0.0,0.0,12.0,0.0,47.4,0.0,E1,wedding,RENT,9 years,Not Verified,0
2000,19.99,36,26000.0,28.49,0.0,0.0,10.0,0.0,84.6,0.0,E1,other,RENT,6 years,Not Verified,0
17050,20.49,36,57000.0,17.1,0.0,2.0,15.0,0.0,91.6,0.0,E1,debt_consolidation,RENT,10+ years,Verified,0
27450,18.54,60,55000.0,34.87,1.0,1.0,12.0,0.0,40.3,6.0,E1,debt_consolidation,MORTGAGE,10+ years,Source Verified,0
7200,20.5,60,24000.0,21.44,0.0,3.0,11.0,0.0,43.5,3.0,E1,debt_consolidation,MORTGAGE,Unknown,Verified,0
28000,22.39,60,100000.0,16.91,1.0,0.0,14.0,0.0,62.1,3.0,E1,debt_consolidation,MORTGAGE,9 years,Verified,0
10500,18.25,60,95000.0,13.73,0.0,1.0,9.0,0.0,54.4,0.0,E1,debt_consolidation,RENT,10+ years,Source Verified,1
15000,16.45,60,45000.0,2.56,1.0,0.0,5.0,0.0,37.2,0.0,E1,wedding,RENT,10+ years,Verified,1
21250,18.99,60,76125.0,32.92,0.0,0.0,17.0,1.0,69.3,1.0,E1,debt_consolidation,MORTGAGE,2 years,Verified,0
5425,18.25,36,49000.0,29.49,1.0,0.0,6.0,0.0,0.0,5.0,E1,debt_consolidation,MORTGAGE,8 years,Not Verified,0
15000,16.45,36,38000.0,7.71,0.0,1.0,11.0,0.0,72.9,0.0,E1,debt_consolidation,RENT,10+ years,Verified,0
18850,19.99,36,60000.0,27.72,0.0,0.0,8.0,1.0,81.2,1.0,E1,debt_consolidation,MORTGAGE,7 years,Source Verified,0
15975,18.25,36,47000.0,12.44,0.0,4.0,10.0,0.0,32.1,7.0,E1,debt_consolidation,MORTGAGE,Unknown,Verified,0
4000,18.99,36,35000.0,4.42,0.0,1.0,16.0,1.0,71.4,2.0,E1,other,MORTGAGE,9 years,Verified,0
15000,19.99,60,62000.0,2.4,0.0,1.0,6.0,0.0,49.3,0.0,E1,other,RENT,< 1 year,Not Verified,0
7000,18.54,36,25000.0,22.26,1.0,4.0,10.0,3.0,42.1,1.0,E1,debt_consolidation,RENT,Unknown,Verified,0
12175,18.54,36,43000.0,29.08,0.0,2.0,15.0,0.0,66.0,5.0,E1,debt_consolidation,MORTGAGE,9 years,Verified,0
13600,18.99,36,34124.0,27.12,0.0,1.0,25.0,1.0,55.9,0.0,E1,debt_consolidation,RENT,10+ years,Verified,0
15400,19.99,60,75000.0,14.93,0.0,3.0,11.0,0.0,58.6,9.0,E1,debt_consolidation,MORTGAGE,10+ years,Verified,1
35000,18.25,36,110000.0,12.09,0.0,2.0,29.0,0.0,54.5,3.0,E1,debt_consolidation,MORTGAGE,10+ years,Source Verified,0
21400,18.25,36,120000.0,23.32,0.0,1.0,17.0,3.0,74.0,2.0,E1,debt_consolidation,MORTGAGE,1 year,Source Verified,0
7950,18.25,36,46520.0,14.01,8.0,2.0,16.0,1.0,62.3,0.0,E1,debt_consolidation,RENT,< 1 year,Verified,1
20050,18.25,36,50000.0,34.76,0.0,1.0,16.0,0.0,33.4,1.0,E1,debt_consolidation,MORTGAGE,5 years,Verified,1
11200,18.99,36,48000.0,39.68,0.0,2.0,12.0,0.0,66.4,0.0,E1,other,RENT,5 years,Verified,0
35000,18.2,60,88000.0,27.74,0.0,0.0,19.0,0.0,61.5,1.0,E1,debt_consolidation,MORTGAGE,10+ years,Source Verified,0
11875,18.25,36,55000.0,10.97,0.0,3.0,18.0,1.0,16.6,0.0,E1,debt_consolidation,RENT,10+ years,Source Verified,0
19200,19.99,60,60400.0,21.28,0.0,0.0,8.0,0.0,99.5,0.0,E1,debt_consolidation,RENT,10+ years,Not Verified,0
19250,18.99,60,43000.0,32.43,0.0,0.0,13.0,0.0,66.4,8.0,E1,credit_card,MORTGAGE,< 1 year,Verified,0
15850,18.99,36,70000.0,15.66,0.0,1.0,16.0,0.0,54.0,5.0,E1,debt_consolidation,MORTGAGE,10+ years,Source Verified,0
9000,20.8,36,60000.0,2.38,0.0,1.0,3.0,0.0,87.7,0.0,E1,other,RENT,8 years,Not Verified,0
25550,18.25,60,53230.0,38.74,0.0,0.0,18.0,0.0,58.0,0.0,E1,credit_card,MORTGAGE,Unknown,Verified,1
16300,18.2,36,78000.0,15.46,1.0,3.0,12.0,0.0,54.4,4.0,E1,debt_consolidation,MORTGAGE,10+ years,Source Verified,0
14800,18.99,60,39000.0,7.05,0.0,0.0,6.0,0.0,70.1,0.0,E1,credit_card,RENT,2 years,Source Verified,1
24000,18.25,60,108000.0,18.97,0.0,0.0,10.0,0.0,74.6,0.0,E1,other,RENT,10+ years,Source Verified,1
10000,16.4,36,100000.0,7.94,0.0,3.0,7.0,0.0,79.6,0.0,E1,credit_card,RENT,4 years,Verified,0
22000,19.99,60,200000.0,15.64,0.0,2.0,19.0,0.0,44.5,3.0,E1,debt_consolidation,MORTGAGE,4 years,Source Verified,0
24000,18.99,60,129000.0,5.8,1.0,1.0,10.0,0.0,68.2,2.0,E1,debt_consolidation,MORTGAGE,3 years,Verified,0
13925,18.99,60,35000.0,13.03,0.0,3.0,14.0,1.0,62.2,2.0,E1,debt_consolidation,MORTGAGE,10+ years,Source Verified,1
14400,19.99,60,54000.0,19.87,0.0,0.0,18.0,0.0,66.4,1.0,E1,debt_consolidation,MORTGAGE,9 years,Source Verified,1
32200,18.2,36,70000.0,10.23,0.0,1.0,4.0,0.0,56.1,2.0,E1,home_improvement,MORTGAGE,8 years,Source Verified,0
21000,18.25,60,160000.0,13.6,0.0,0.0,19.0,0.0,62.4,2.0,E1,debt_consolidation,RENT,10+ years,Source Verified,1
35000,21.0,36,120000.0,16.03,0.0,1.0,17.0,0.0,75.9,3.0,E1,debt_consolidation,MORTGAGE,4 years,Source Verified,0
23575,18.99,60,64100.0,33.78,1.0,2.0,13.0,0.0,47.9,0.0,E1,debt_consolidation,RENT,10+ years,Verified,0
5000,16.45,60,48000.0,9.5,0.0,0.0,6.0,0.0,95.8,0.0,E1,debt_consolidation,OWN,2 years,Verified,0
20000,18.25,60,58000.0,29.36,1.0,1.0,12.0,0.0,63.4,4.0,E1,debt_consolidation,MORTGAGE,Unknown,Verified,0
20950,20.49,36,54000.0,22.62,0.0,2.0,10.0,0.0,89.0,7.0,E1,debt_consolidation,MORTGAGE,10+ years,Verified,1
11650,19.99,36,78000.0,4.42,0.0,0.0,9.0,0.0,56.9,0.0,E1,debt_consolidation,MORTGAGE,6 years,Verified,0
8625,19.99,36,57000.0,32.25,0.0,0.0,5.0,0.0,72.5,3.0,E1,debt_consolidation,RENT,10+ years,Verified,0
35000,18.54,60,92000.0,15.54,0.0,1.0,8.0,0.0,83.2,1.0,E1,debt_consolidation,RENT,10+ years,Verified,0
35000,22.74,36,90000.0,7.32,0.0,1.0,10.0,0.0,51.0,0.0,E1,moving,RENT,< 1 year,Verified,0
14400,16.45,60,32400.0,14.78,0.0,1.0,7.0,1.0,97.1,0.0,E1,credit_card,RENT,2 years,Source Verified,1
35000,20.5,60,95000.0,17.21,0.0,1.0,16.0,0.0,80.5,7.0,E1,credit_card,RENT,5 years,Verified,0
16800,20.5,60,80000.0,23.37,6.0,2.0,10.0,0.0,86.4,6.0,E1,debt_consolidation,MORTGAGE,10+ years,Source Verified,1
25450,18.25,60,75000.0,32.26,0.0,0.0,20.0,0.0,38.7,2.0,E1,debt_consolidation,MORTGAGE,10+ years,Source Verified,0
15000,20.5,36,45000.0,28.11,0.0,0.0,18.0,0.0,83.1,0.0,E1,credit_card,OWN,10+ years,Not Verified,0
7800,17.99,60,45000.0,7.47,0.0,0.0,10.0,0.0,60.0,0.0,E1,credit_card,RENT,2 years,Verified,1
11200,18.25,60,65000.0,10.21,0.0,0.0,6.0,0.0,93.3,2.0,E1,debt_consolidation,OWN,8 years,Verified,1
18225,21.0,60,41000.0,23.33,0.0,0.0,15.0,0.0,72.4,0.0,E1,debt_consolidation,RENT,3 years,Verified,1
12000,18.99,60,50000.0,23.84,4.0,0.0,11.0,0.0,60.8,1.0,E1,debt_consolidation,MORTGAGE,2 years,Verified,1
5000,17.99,60,40000.0,7.83,0.0,1.0,9.0,0.0,35.2,0.0,E1,debt_consolidation,OWN,9 years,Source Verified,0
12000,18.25,60,45000.0,14.82,0.0,0.0,9.0,0.0,43.0,0.0,E1,debt_consolidation,RENT,4 years,Source Verified,0
14000,18.99,60,70000.0,33.98,0.0,1.0,31.0,0.0,31.6,0.0,E1,debt_consolidation,RENT,7 years,Source Verified,0
35000,18.25,60,87500.0,15.55,0.0,0.0,14.0,0.0,65.4,3.0,E1,debt_consolidation,MORTGAGE,10+ years,Source Verified,0
12000,19.99,60,100000.0,11.41,0.0,1.0,8.0,0.0,62.0,1.0,E1,debt_consolidation,MORTGAGE,5 years,Verified,0
5000,22.74,36,35000.0,31.65,1.0,0.0,17.0,0.0,84.0,3.0,E1,debt_consolidation,MORTGAGE,10+ years,Verified,1
24250,22.74,36,82900.0,16.99,2.0,3.0,8.0,0.0,37.7,1.0,E1,debt_consolidation,OWN,1 year,Verified,1
10900,22.39,36,132000.0,14.1,0.0,2.0,13.0,1.0,23.8,3.0,E1,debt_consolidation,MORTGAGE,3 years,Source Verified,1
35000,18.54,60,220000.0,12.52,0.0,4.0,14.0,0.0,43.2,3.0,E1,home_improvement,MORTGAGE,9 years,Verified,0
13475,18.2,60,42000.0,32.26,0.0,0.0,14.0,0.0,79.8,2.0,E1,debt_consolidation,MORTGAGE,< 1 year,Source Verified,0
7000,22.39,36,30000.0,30.2,0.0,1.0,8.0,0.0,34.8,0.0,E1,debt_consolidation,RENT,2 years,Verified,1
18000,18.25,36,160000.0,22.34,2.0,2.0,21.0,1.0,30.2,1.0,E1,other,MORTGAGE,10+ years,Verified,1
27725,22.74,60,77000.0,26.98,0.0,1.0,31.0,0.0,25.0,2.0,E1,major_purchase,MORTGAGE,6 years,Verified,0
4875,18.99,36,46000.0,21.08,2.0,1.0,7.0,1.0,32.0,0.0,E1,debt_consolidation,RENT,< 1 year,Not Verified,1
21025,18.54,60,48000.0,20.66,0.0,1.0,9.0,0.0,81.0,6.0,E1,credit_card,MORTGAGE,10+ years,Source Verified,1
6000,22.74,36,20000.0,33.07,0.0,1.0,12.0,0.0,15.1,0.0,E1,debt_consolidation,RENT,Unknown,Verified,1
17800,16.35,36,85000.0,19.23,0.0,1.0,18.0,0.0,78.7,0.0,E1,debt_consolidation,RENT,1 year,Verified,0
6625,20.8,36,33280.0,29.19,0.0,1.0,10.0,0.0,77.4,0.0,E1,debt_consolidation,RENT,8 years,Verified,1
21600,22.39,60,62000.0,25.63,2.0,1.0,22.0,1.0,58.3,3.0,E1,major_purchase,OWN,5 years,Not Verified,1
20150,18.25,36,70000.0,28.1,0.0,1.0,5.0,0.0,85.7,0.0,E1,debt_consolidation,RENT,10+ years,Source Verified,1
35000,18.2,36,210000.0,0.9,0.0,0.0,4.0,0.0,10.4,7.0,E1,small_business,MORTGAGE,8 years,Verified,0
14350,18.25,36,37800.0,19.37,0.0,0.0,11.0,0.0,60.6,1.0,E1,credit_card,MORTGAGE,Unknown,Verified,1
4000,18.25,36,30000.0,6.19,0.0,2.0,9.0,1.0,47.2,0.0,E1,debt_consolidation,RENT,9 years,Source Verified,0
35000,18.64,60,130000.0,10.53,0.0,2.0,6.0,0.0,65.1,0.0,E1,debt_consolidation,MORTGAGE,2 years,Verified,0
11200,18.25,60,45000.0,19.79,0.0,0.0,10.0,1.0,44.8,0.0,E1,debt_consolidation,RENT,9 years,Source Verified,0
19950,19.99,60,47500.0,21.5,0.0,0.0,18.0,0.0,76.8,0.0,E1,debt_consolidation,RENT,< 1 year,Source Verified,0
7000,19.99,36,27000.0,18.31,0.0,1.0,10.0,1.0,41.7,3.0,E1,debt_consolidation,MORTGAGE,3 years,Source Verified,0
7000,18.54,36,19000.0,38.53,0.0,1.0,7.0,0.0,70.5,0.0,E1,other,RENT,7 years,Source Verified,1
2375,18.25,36,38000.0,9.98,0.0,1.0,10.0,0.0,38.7,0.0,E1,debt_consolidation,RENT,3 years,Source Verified,0
10850,18.99,60,40000.0,20.67,0.0,3.0,11.0,0.0,63.6,0.0,E1,debt_consolidation,RENT,10+ years,Source Verified,0
10000,18.25,60,74000.0,22.24,0.0,1.0,7.0,1.0,54.4,4.0,E1,debt_consolidation,RENT,1 year,Source Verified,0
12275,19.99,36,45000.0,10.93,0.0,0.0,8.0,0.0,59.0,0.0,E1,major_purchase,RENT,10+ years,Source Verified,0
15225,18.54,36,45000.0,20.67,1.0,1.0,9.0,0.0,72.8,1.0,E1,debt_consolidation,RENT,Unknown,Verified,1
10000,22.91,36,58000.0,20.92,0.0,0.0,5.0,0.0,81.8,0.0,E1,debt_consolidation,RENT,1 year,Source Verified,1
34800,18.25,60,72500.0,35.37,0.0,0.0,14.0,0.0,85.1,4.0,E1,debt_consolidation,MORTGAGE,4 years,Verified,1
35000,17.99,60,165000.0,10.0,0.0,1.0,17.0,0.0,73.0,0.0,E1,debt_consolidation,MORTGAGE,6 years,Verified,0
3125,18.2,36,42000.0,11.23,0.0,2.0,8.0,0.0,60.7,1.0,E1,debt_consolidation,MORTGAGE,< 1 year,Verified,1
33000,18.99,60,96000.0,22.64,0.0,1.0,14.0,0.0,80.0,2.0,E1,debt_consolidation,MORTGAGE,10+ years,Source Verified,1
6200,18.99,36,125000.0,9.92,4.0,0.0,6.0,0.0,61.5,1.0,E1,home_improvement,MORTGAGE,9 years,Not Verified,0
7700,18.25,36,80000.0,2.31,0.0,1.0,7.0,0.0,44.6,1.0,E1,debt_consolidation,MORTGAGE,5 years,Source Verified,0
4800,22.74,36,65407.0,30.44,0.0,0.0,30.0,1.0,44.1,0.0,E1,debt_consolidation,RENT,10+ years,Verified,0
16000,18.25,60,75000.0,29.02,0.0,1.0,8.0,2.0,37.9,0.0,E1,debt_consolidation,OWN,8 years,Source Verified,0
8125,18.25,36,65000.0,31.32,1.0,2.0,11.0,0.0,56.0,1.0,E1,car,RENT,5 years,Verified,1
6000,20.8,36,40000.0,10.59,0.0,2.0,6.0,1.0,66.1,0.0,E1,wedding,RENT,Unknown,Source Verified,1
17475,20.5,36,52000.0,13.94,0.0,0.0,4.0,0.0,97.5,0.0,E1,debt_consolidation,RENT,10+ years,Verified,0
19400,18.25,60,60000.0,30.5,1.0,0.0,15.0,1.0,37.7,0.0,E1,debt_consolidation,RENT,< 1 year,Source Verified,0
15000,18.25,60,65000.0,34.01,0.0,4.0,35.0,1.0,25.3,4.0,E1,other,OWN,1 year,Verified,0
25325,18.2,60,134000.0,25.6,0.0,0.0,25.0,0.0,60.4,0.0,E1,credit_card,RENT,10+ years,Verified,0
30400,21.0,60,122000.0,7.09,0.0,2.0,6.0,0.0,64.4,1.0,E1,debt_consolidation,RENT,3 years,Verified,0
10000,19.99,36,100000.0,26.22,0.0,5.0,14.0,2.0,54.0,0.0,E1,debt_consolidation,MORTGAGE,6 years,Verified,0
7400,19.99,36,32000.0,12.75,0.0,1.0,11.0,2.0,47.8,0.0,E1,other,RENT,5 years,Verified,0
15000,18.2,60,222440.0,21.5,0.0,1.0,21.0,0.0,92.6,2.0,E1,debt_consolidation,RENT,1 year,Source Verified,0
26500,18.54,36,63167.19,21.34,0.0,2.0,9.0,0.0,101.2,0.0,E1,credit_card,RENT,10+ years,Verified,0
20150,18.99,36,80000.0,13.77,0.0,3.0,11.0,0.0,52.5,9.0,E1,debt_consolidation,MORTGAGE,10+ years,Source Verified,0
2000,22.74,36,40000.0,3.6,0.0,1.0,5.0,0.0,23.0,0.0,E1,moving,RENT,3 years,Verified,0
16000,20.49,60,72500.0,11.04,0.0,1.0,9.0,0.0,78.2,0.0,E1,debt_consolidation,MORTGAGE,2 years,Verified,0
18000,19.99,60,70000.0,22.77,0.0,2.0,16.0,1.0,47.9,2.0,E1,debt_consolidation,OWN,10+ years,Not Verified,1
11050,22.39,36,53500.0,25.15,1.0,0.0,14.0,0.0,64.5,1.0,E1,debt_consolidation,OWN,10+ years,Verified,0
25000,20.49,60,60300.0,20.86,0.0,1.0,10.0,0.0,60.4,1.0,E1,debt_consolidation,MORTGAGE,10+ years,Verified,0
7000,15.68,36,46000.0,20.87,0.0,0.0,5.0,0.0,97.3,0.0,E1,debt_consolidation,RENT,2 years,Not Verified,0
24000,19.99,60,70000.0,9.82,0.0,1.0,12.0,0.0,53.0,1.0,E1,debt_consolidation,MORTGAGE,8 years,Not Verified,0
3500,18.99,36,58000.0,2.46,1.0,0.0,4.0,1.0,67.0,1.0,E1,debt_consolidation,MORTGAGE,10+ years,Verified,0
15000,22.74,36,85000.0,32.54,0.0,2.0,9.0,0.0,56.2,0.0,E1,debt_consolidation,RENT,10+ years,Source Verified,1
12550,18.25,36,42000.0,18.94,1.0,0.0,8.0,0.0,70.9,2.0,E1,debt_consolidation,RENT,2 years,Not Verified,0
12000,18.54,60,43007.0,10.24,0.0,0.0,10.0,0.0,32.3,0.0,E1,debt_consolidation,OWN,< 1 year,Verified,0
15875,18.99,36,35100.0,20.1,0.0,1.0,11.0,1.0,46.3,0.0,E1,debt_consolidation,RENT,< 1 year,Source Verified,0
30000,18.54,36,74000.0,33.46,0.0,0.0,26.0,0.0,48.9,2.0,E1,debt_consolidation,OWN,10+ years,Verified,1
14000,22.91,36,60000.0,21.82,1.0,0.0,12.0,2.0,56.6,1.0,E1,debt_consolidation,MORTGAGE,10+ years,Source Verified,0
20000,18.25,36,50000.0,31.38,0.0,2.0,13.0,0.0,88.2,0.0,E1,credit_card,RENT,3 years,Verified,1
35000,22.39,60,160000.0,14.15,0.0,0.0,10.0,0.0,35.0,3.0,E1,debt_consolidation,RENT,5 years,Verified,0
7625,22.74,36,55000.0,33.25,0.0,0.0,13.0,0.0,67.8,0.0,E1,debt_consolidation,RENT,8 years,Verified,1
7475,18.25,36,90000.0,11.97,1.0,0.0,7.0,0.0,78.4,4.0,E1,home_improvement,MORTGAGE,10+ years,Source Verified,1
35000,22.74,36,80000.0,16.67,0.0,0.0,9.0,1.0,18.5,0.0,E1,debt_consolidation,RENT,< 1 year,Verified,1
15000,22.74,60,38000.0,23.25,0.0,1.0,12.0,0.0,54.0,0.0,E1,debt_consolidation,RENT,3 years,Verified,1
3000,19.99,36,130000.0,8.82,0.0,0.0,9.0,0.0,74.8,1.0,E1,home_improvement,MORTGAGE,3 years,Source Verified,0
7800,22.74,36,23000.0,32.83,0.0,1.0,18.0,0.0,4.7,0.0,E1,home_improvement,RENT,Unknown,Not Verified,0
32300,18.54,60,122000.0,27.04,0.0,1.0,10.0,0.0,59.6,5.0,E1,debt_consolidation,MORTGAGE,3 years,Verified,0
32000,20.49,36,185000.0,11.52,1.0,1.0,9.0,0.0,78.4,1.0,E1,credit_card,MORTGAGE,7 years,Verified,1
6450,18.25,36,13091.0,36.24,1.0,1.0,5.0,1.0,34.5,0.0,E1,major_purchase,RENT,Unknown,Verified,0
6000,22.39,36,40000.0,24.6,1.0,1.0,19.0,1.0,30.2,0.0,E1,debt_consolidation,MORTGAGE,10+ years,Verified,1
12000,18.25,60,30000.0,20.56,0.0,0.0,9.0,1.0,33.6,0.0,E1,debt_consolidation,RENT,9 years,Source Verified,0
15375,18.25,60,150000.0,1.22,0.0,0.0,4.0,0.0,92.0,0.0,E1,credit_card,RENT,10+ years,Source Verified,1
15000,18.25,36,56000.0,17.23,0.0,1.0,17.0,1.0,10.1,1.0,E1,house,MORTGAGE,8 years,Verified,0
35000,22.39,60,80000.0,21.09,0.0,1.0,7.0,1.0,35.9,2.0,E1,home_improvement,MORTGAGE,3 years,Verified,0
20000,22.91,36,36000.0,32.1,0.0,1.0,6.0,0.0,46.5,0.0,E1,debt_consolidation,RENT,2 years,Source Verified,1
2900,18.99,36,82000.0,7.61,9.0,3.0,6.0,1.0,57.0,2.0,E1,medical,RENT,10+ years,Not Verified,0
4000,20.49,36,76000.0,15.82,4.0,2.0,15.0,0.0,24.6,0.0,E1,debt_consolidation,RENT,7 years,Not Verified,1
35000,19.99,60,125000.0,14.22,0.0,0.0,24.0,0.0,64.4,0.0,E1,debt_consolidation,RENT,3 years,Source Verified,0
12000,18.25,60,50400.0,7.86,0.0,0.0,7.0,1.0,26.8,0.0,E1,moving,OWN,Unknown,Verified,1
20950,18.99,60,50000.0,29.09,0.0,1.0,17.0,0.0,30.1,3.0,E1,home_improvement,MORTGAGE,10+ years,Source Verified,0
18000,18.25,60,95000.0,10.12,0.0,0.0,10.0,0.0,28.5,1.0,E1,other,OWN,10+ years,Not Verified,1
20150,19.99,60,56000.0,12.81,0.0,2.0,10.0,0.0,19.5,0.0,E1,debt_consolidation,RENT,1 year,Not Verified,0
15000,18.25,36,42000.0,39.91,0.0,1.0,28.0,2.0,31.2,4.0,E1,debt_consolidation,RENT,8 years,Source Verified,1
7200,19.99,60,59400.0,10.86,1.0,2.0,4.0,0.0,50.3,1.0,E1,debt_consolidation,RENT,10+ years,Verified,0
1600,18.25,36,56000.0,22.29,0.0,2.0,7.0,2.0,12.8,4.0,E1,other,MORTGAGE,4 years,Source Verified,0
12500,22.39,60,101000.0,20.58,0.0,0.0,16.0,0.0,51.8,2.0,E1,debt_consolidation,MORTGAGE,10+ years,Not Verified,0
